id,category,tamil,translit,english
1,calendar,ஞாயிற்றுக்கிழைம,Nayirrukkilamai,Sunday
2,calendar,ெசவ்வாய்,cevvay,Tuesday
3,calendar,புதன்,putan,Wednesday
4,calendar,வியாழன்,viyalan,Thursday
5,calendar,ெவள்ளி,velli,Friday
6,calendar,சனிக்கிழைம,canikkilamai,Saturday
7,calendar,ஜனவரி,Type Tamil,January
8,calendar,பிப்ரவரி,pipravari,February
9,calendar,மார்ச்,marc,March
10,calendar,ஏப்ரல்,epral,April
11,calendar,ேம,me,May
12,calendar,ஜூன்,jun,June
13,calendar,ஜூைல,julai,July
14,calendar,ஆகஸ்ட்,akast,August
15,calendar,ெசப்டம்பர்,ceptampar,September
16,calendar,அக்ேடாபர்,aktopar,October
17,calendar,நவம்பர்,navampar,November
18,calendar,டிசம்பர்,ticampar,December
19,calendar,ேகாைட,kotai,Summer
20,calendar,குளிர்காலம்,kulirkalam,Winter
21,calendar,வசந்த,vacanta,Spring
