id,category,tamil,translit,english,image
1,numbers,0 (பூஜ்யம்),0 - Pujyam,0 (zero),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZZ2sE9qkHtd3BtnaaTFw0QNQJ-0q79TbzsE9AMg6lj-fONIMDXZQ7iwtXQQ&s
2,numbers,1 (ஒன்று),1 - onru,1 (one),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2uxssNItzPJAI_-RZWlU5A2F9gBKx_oQIWSbQ_vdGRysgwEk6wum2e1SXUQ&s
3,numbers,2 (இரண்டு),2 - irantu,2 (two),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCV-hI0gIyJwL9ssoxt-HpbkUmTE4ndKzVe9Dw5ph74aFuf5Da31O6-q5SLqo&s
4,numbers,3 (மூன்று),3 - munru,3 (three),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuw5nakLJrSUZH3FZHxl72rUh4u1TJSZQLciZ0uupgr0AcfEGlh7bUSLJ30Mo&s
5,numbers,4 (நான்கு),4 - nanku,4 (four),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzT_2WaMxSJiDd9jVlHnyHj6RPX8dHEhVf5dxVuPFm7fWM3vSQueh7zlgtvQ&s
6,numbers,5 (ஐந்து),5 - aintu,5 (five),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN9Riiasv8dATVwrGy1bkxJ33xDlsDxwy8MKpTwmG5edibeMNbR__6J4xvTw&s
7,numbers,7 (ஏழு),7 - elu,7 (seven),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLxa8GLaTCVzViPln1LkyZjVHTOWzGoHVIqkaGNstCSRO57OvEOHB_Rq_yLKI&s
8,numbers,8 (எட்டு),8 - ettu,8 (eight),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr9nROr5QMbQt9la6NWrQrgWgmR9JWxpJdJmSyVOpgrjVg-Gnj0QCCR5sIJ9c&s
9,numbers,9 (ஒன்பது),9 - onpatu,9 (nine),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvqqM8QCgpbCM2GppNvYJiHtsilkDGYgQQdG9b51ClQm7QkKqq4f8R9JqSROU&s
10,numbers,10 (பத்து),10 - pattu,10 (ten),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwyVKQHwZmj6SAV-1nx02-NZnFWNVYN_U8TxjqdH48YMZEU9wndnHgG5ElqAI&s
11,numbers,11 (பதிெனான்று),11 - patinonru,11 (eleven),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5TyxwZYCa-H8bX1bqx6tJHTNIf_Yq7FTvygp58Fkh8N12nGIMTxN6i1tmYA&s
12,numbers,12 (பன்னிரண்டு),12 - pannirantu,12 (twelve),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtHjtPKmWmwt1mhr2f70FnlIcVMsPn91QX8eUUEiaL0oAa2m6uviNnPnLwXpw&s
13,numbers,14 (பதிநான்கு),14 - patinanku,14 (fourteen),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdYyLg5lhpT145eNa9BoGu8-jRwV--LQBMaYLO8eMizQ7D1NlSrvjjGot7pg&s
14,numbers,15 (பதிைனந்து),15 - patinaintu,15 (fifteen),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu40Ov0LhJZYNGuyGaTmwjjJzUDetFcYAdEybL-skuNEmMIA__E5FiMNBg4l0&s
15,numbers,16 (பதினாறு),16 - patinaru,16 (sixteen),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa01lbDiNfuzWfWY-MxG1sbCua5XFWd_jaCaJgIABdg19soCCe0C9iUqP-_g&s
16,numbers,17 (பதிேனழு),17 - patinelu,17 (seventeen),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTeJWd_X4WxMDiQoejD0L4w61LF3fiuiFI55d1ytlhpxbOca27jujzhSKChOg&s
17,numbers,18 (பதிெனட்டு),18 - patinettu,18 (eighteen),"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwBAMAAAClLOS0AAAAD1BMVEUAAAALV9AMWM8LV9AMWM/cqVvwAAAABXRSTlMAv4D/QIO3/x8AAADqSURBVHgBxJFHEgIxDARnw51g7sQHYMSd+P83UZaqN99pkgu5vRpLf2arZSo7aJHablrmHMrpmGyze06V+mxOpoLyMTiMldaGlWUlC/QZK3cF5T9XtpvJYY1ZUQ5Sm0ZK6nfVoTwVd2Ku6H2RIs5VEmt/yk4Nu0Q70dizZhcn5ciyVl/4RCHi35Q4i5VcKT8UWLlCIUus5MpXRBSZGGXi4RQOrtC8CoRlLgTkSoZzWWsQ/SAURkXEJ4oLKIXNyVzJgpcZFAVBNM8lCxgpypB6qMDIyQlF8N6Uvn4jmPgxAb20GOLK4CoMVAUA2/FUWazwZNUAAAAASUVORK5CYII="
18,numbers,20 (இருபது),20 - irupatu,20 (twenty),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYFcTBRAHKUoyeaiVnH9ofRshnDDU9Pk_vXomifeETEAaJmpQb0WA9v1cxGw&s
19,numbers,21 (இருபத்ெதான்று),21 - irupattonru,21 (twenty one),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3bXoFEyD5Qa7XDYl_I82qnL24SdutAso2OnLBqylRbsqDxdJeAWG5TEOfuaY&s
20,numbers,30 (முப்பது),30 - muppatu,30 (thirty),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6zGObkRntOL538zN9BP42Yy5uQWcQ82_G4urYw2nXrtYj_oeJh-P1grsEVw&s
21,numbers,40 (நாற்பது),40 - narpatu,40 (forty),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKn8Yh7FDMvGVjB5lnFGweoSSjZanlUOv3ndvIYH98KnCf9NROPYnaeQjw5Jw&s
22,numbers,50 (ஐம்பது),50 - aimpatu,50 (fifty),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeNunWMcCSXRftiRBT7grMSEMt1CnEBnEHHLzGWEXbRk2zWqjqkLkA6ippH8I&s
